股票代码,股票名称,最新价格,市盈率(PE)
920198,微创光电,13.13,-25.9
920694,中裕科技,25.07,31.47
920942,恒立钻具,47.8,101.11
688509,正元地信,5.08,-40.65
688148,芳源股份,7.78,-24.65
301158,德石股份,25.66,42.71
300557,理工光科,30.64,78.84
688260,昀冢科技,36.17,-21.72
688498,源杰科技,496.78,461.45
301231,荣信文化,30.6,595.67
301563,云汉芯城,197.17,119.05
300948,冠中生态,22.03,-536.62
920748,路桥信息,39.68,-61.59
301099,雅创电子,57.09,102.57
300814,中富电路,57.0,325.04
301251,威尔高,67.29,100.2
688313,仕佳光子,67.71,77.74
300959,线上线下,106.08,397.68
300395,菲利华,80.5,94.81
688539,高华科技,38.35,115.24
300080,易成新能,5.82,-32.07
300588,熙菱信息,30.36,-95.79
301021,英诺激光,41.7,374.13
300434,金石亚药,11.39,34.8
300901,中胤时尚,17.48,-836.71
300179,四方达,15.61,71.26
300502,新易盛,365.42,46.07
300480,光力科技,18.25,127.86
920839,万通液压,56.39,49.51
600815,厦工股份,3.15,830.77
600681,百川能源,5.03,20.5
002513,蓝丰生化,8.86,-35.18
600403,大有能源,7.99,-11.22
601608,中信重工,6.9,77.74
600871,石化油服,2.3,44.29
002772,众兴菌业,11.17,31.82
000665,湖北广电,6.35,-13.97
601515,东峰集团,4.82,-73.26
002542,中化岩土,4.05,-23.14
603878,武进不锈,11.18,41.54
600748,上实发展,7.34,-8.97
002097,山河智能,13.81,148.76
920964,润农节水,8.22,203.65
603329,上海雅仕,12.61,64.02
600133,东湖高新,10.86,117.73
002956,西麦食品,21.4,29.31
600293,三峡新材,3.4,-73.07
600172,黄河旋风,7.02,-16.92
001267,汇绿生态,17.88,187.11
002213,大为股份,21.84,-221.85
601231,环旭电子,21.29,36.72
002169,智光电气,8.12,-57.62
002767,先锋电子,25.03,142.89
002632,道明光学,10.87,29.77
002278,神开股份,11.21,57.66
601956,东贝集团,9.13,41.6
002523,天桥起重,4.29,69.2
603067,振华股份,18.48,22.04
600262,北方股份,27.18,23.15
002554,惠博普,3.52,52.88
002748,世龙实业,11.55,34.1
600783,鲁信创投,15.51,26.55
600708,光明地产,4.07,-11.4
000016,深康佳Ａ,5.5,-17.27
000620,盈新发展,1.98,-36.04
605188,国光连锁,20.35,667.55
000637,茂化实华,4.73,-14.87
000061,农 产 品,9.02,47.0
600629,华建集团,40.93,144.9
002380,科远智慧,30.24,25.07
600667,太极实业,8.91,28.48
600984,建设机械,4.18,-5.87
600745,闻泰科技,41.71,54.79
000759,中百集团,7.82,-10.16
605228,神通科技,18.82,53.87
605580,恒盛能源,33.03,67.25
600021,上海电力,24.33,17.98
002208,合肥城建,14.31,476.6
603686,福龙马,25.11,55.64
002831,裕同科技,28.09,23.34
601061,中信金属,11.24,19.01
